Title,Genre,Director,Year,Runtime (Minutes),Revenue (Millions)
Guardians of the Galaxy,Action;Adventure;Sci-Fi,James Gunn,2014,121,333.13
Hacksaw Ridge,Biography;Drama;History,Mel Gibson,2016,139,67.12
Hail  Caesar!,Comedy;Mystery,Ethan Coen,2016,106,30
Hairspray,Comedy;Drama;Family,Adam Shankman,2007,117,118.82
Half of a Yellow Sun,Drama;Romance,Biyi Bandele,2013,111,0.05
Hancock,Action;Crime;Drama,Peter Berg,2008,92,227.95
Hands of Stone,Action;Biography;Drama,Jonathan Jakubowicz,2016,111,4.71
Hanna,Action;Drama;Thriller,Joe Wright,2011,111,40.25
Happy Feet,Animation;Comedy;Family,George Miller,2006,108,197.99
Hardcore Henry,Action;Adventure;Sci-Fi,Ilya Naishuller,2015,96,9.24
Harry Potter and the Deathly Hallows: Part 1,Adventure;Family;Fantasy,David Yates,2010,146,294.98
Harry Potter and the Deathly Hallows: Part 2,Adventure;Drama;Fantasy,David Yates,2011,130,380.96
Harry Potter and the Half-Blood Prince,Adventure;Family;Fantasy,David Yates,2009,153,301.96
Harry Potter and the Order of the Phoenix,Adventure;Family;Fantasy,David Yates,2007,138,292
Hell or High Water,Crime;Drama;Thriller,David Mackenzie,2016,102,26.86
Hellboy II: The Golden Army,Action;Adventure;Fantasy,Guillermo del Toro,2008,120,75.75
Hello  My Name Is Doris,Comedy;Drama;Romance,Michael Showalter,2015,95,14.44
Her,Drama;Romance;Sci-Fi,Spike Jonze,2013,126,25.56
Hercules,Action;Adventure,Brett Ratner,2014,98,72.66
Hidden Figures,Biography;Drama;History,Theodore Melfi,2016,127,169.27
High-Rise,Drama,Ben Wheatley,2015,119,0.34
Home,Animation;Adventure;Comedy,Tim Johnson,2015,94,177.34
Horns,Drama;Fantasy;Horror,Alexandre Aja,2013,120,0.16
Horrible Bosses,Comedy;Crime,Seth Gordon,2011,98,117.53
Horrible Bosses 2,Comedy;Crime,Sean Anders,2014,108,54.41
Hostel: Part II,Horror,Eli Roth,2007,94,17.54
Hot Fuzz,Action;Comedy;Mystery,Edgar Wright,2007,121,23.62
Hotel Transylvania 2,Animation;Comedy;Family,Genndy Tartakovsky,2015,89,169.69
How to Be Single,Comedy;Romance,Christian Ditter,2016,110,46.81
How to Train Your Dragon,Animation;Action;Adventure,Dean DeBlois,2010,98,217.39
How to Train Your Dragon 2,Animation;Action;Adventure,Dean DeBlois,2014,102,177
Hugo,Adventure;Drama;Family,Martin Scorsese,2011,126,73.82
Hunger,Biography;Drama,Steve McQueen,2008,96,0.15
Hunt for the Wilderpeople,Adventure;Comedy;Drama,Taika Waititi,2016,101,5.2
I Am Legend,Drama;Horror;Sci-Fi,Francis Lawrence,2007,101,256.39
I Am Number Four,Action;Adventure;Sci-Fi,D.J. Caruso,2011,109,55.09
I Origins,Drama;Romance;Sci-Fi,Mike Cahill,2014,106,0.33
I Spit on Your Grave,Crime;Horror;Thriller,Steven R. Monroe,2010,108,0.09
Ice Age: Collision Course,Animation;Adventure;Comedy,Mike Thurmeier,2016,94,64.06
Idiocracy,Adventure;Comedy;Sci-Fi,Mike Judge,2006,84,0.44
If I Stay,Drama;Fantasy;Music,R.J. Cutler,2014,107,50.46
Il racconto dei racconti - Tale of Tales,Drama;Fantasy;Horror,Matteo Garrone,2015,133,0.08
Immortals,Action;Drama;Fantasy,Tarsem Singh,2011,110,83.5
In Bruges,Comedy;Crime;Drama,Martin McDonagh,2008,107,7.76
In the Heart of the Sea,Action;Adventure;Biography,Ron Howard,2015,122,24.99
In Time,Action;Sci-Fi;Thriller,Andrew Niccol,2011,109,37.55
Incendies,Drama;Mystery;War,Denis Villeneuve,2010,131,6.86
Inception,Action;Adventure;Sci-Fi,Christopher Nolan,2010,148,292.57
Independence Day: Resurgence,Action;Adventure;Sci-Fi,Roland Emmerich,2016,120,103.14
Indiana Jones and the Kingdom of the Crystal Skull,Action;Adventure;Fantasy,Steven Spielberg,2008,122,317.01
Indignation,Drama;Romance,James Schamus,2016,110,3.4
Inferno,Action;Adventure;Crime,Ron Howard,2016,121,34.26
Inglourious Basterds,Adventure;Drama;War,Quentin Tarantino,2009,153,120.52
Inherent Vice,Comedy;Crime;Drama,Paul Thomas Anderson,2014,148,8.09
Inside Man,Crime;Drama;Mystery,Spike Lee,2006,129,88.5
Inside Out,Animation;Adventure;Comedy,Pete Docter,2015,95,356.45
Insidious,Horror;Mystery;Thriller,James Wan,2010,103,53.99
Insurgent,Adventure;Sci-Fi;Thriller,Robert Schwentke,2015,119,130
Interstellar,Adventure;Drama;Sci-Fi,Christopher Nolan,2014,169,187.99
Into the Forest,Drama;Sci-Fi;Thriller,Patricia Rozema,2015,101,0.01
Into the Wild,Adventure;Biography;Drama,Sean Penn,2007,148,18.35
Into the Woods,Adventure;Comedy;Drama,Rob Marshall,2014,125,128
Iron Man,Action;Adventure;Sci-Fi,Jon Favreau,2008,126,318.3
Iron Man 2,Action;Adventure;Sci-Fi,Jon Favreau,2010,124,312.06
Iron Man Three,Action;Adventure;Sci-Fi,Shane Black,2013,130,408.99
It Follows,Horror;Mystery,David Robert Mitchell,2014,100,14.67
Jack Reacher,Action;Crime;Mystery,Christopher McQuarrie,2012,130,58.68
Jack Reacher: Never Go Back,Action;Adventure;Crime,Edward Zwick,2016,118,58.4
Jack Ryan: Shadow Recruit,Action;Drama;Thriller,Kenneth Branagh,2014,105,50.55
Jackie,Biography;Drama;History,Pablo Larrain,2016,100,13.96
Jagten,Drama,Thomas Vinterberg,2012,115,0.61
Jane Eyre,Drama;Romance,Cary Joji Fukunaga,2011,120,11.23
Jason Bourne,Action;Thriller,Paul Greengrass,2016,123,162.16
Jennifer's Body,Comedy;Horror,Karyn Kusama,2009,102,16.2
John Carter,Action;Adventure;Sci-Fi,Andrew Stanton,2012,132,73.06
John Wick,Action;Crime;Thriller,Chad Stahelski,2014,101,43
Joy,Drama,David O. Russell,2015,124,56.44
Jumper,Action;Adventure;Sci-Fi,Doug Liman,2008,88,80.17
Juno,Comedy;Drama,Jason Reitman,2007,96,143.49
Jupiter Ascending,Action;Adventure;Sci-Fi,Lana Wachowski,2015,127,47.38
Jurassic World,Action;Adventure;Sci-Fi,Colin Trevorrow,2015,124,652.18
Just Go with It,Comedy;Romance,Dennis Dugan,2011,117,103.03
Keanu,Action;Comedy,Peter Atencio,2016,100,20.57
Keeping Up with the Joneses,Action;Comedy,Greg Mottola,2016,105,14.9
Kick-Ass,Action;Comedy,Matthew Vaughn,2010,117,48.04
Kick-Ass 2,Action;Comedy;Crime,Jeff Wadlow,2013,103,28.75
Kickboxer: Vengeance,Action,John Stockwell,2016,90,131.56
Kicks,Adventure,Justin Tipping,2016,80,0.15
Kimi no na wa,Animation;Drama;Fantasy,Makoto Shinkai,2016,106,4.68
King Cobra,Crime;Drama,Justin Kelly,2016,91,0.03
Kingsman: The Secret Service,Action;Adventure;Comedy,Matthew Vaughn,2014,129,128.25
Knight of Cups,Drama;Romance,Terrence Malick,2015,118,0.56
Knock Knock,Drama;Horror;Thriller,Eli Roth,2015,99,0.03
Knocked Up,Comedy;Romance,Judd Apatow,2007,129,148.73
Kubo and the Two Strings,Animation;Adventure;Family,Travis Knight,2016,101,48.02
Kung Fu Panda,Animation;Action;Adventure,Mark Osborne,2008,92,215.4
Kung Fu Panda 3,Animation;Action;Adventure,Alessandro Carloni,2016,95,143.52
Kynodontas,Drama;Thriller,Yorgos Lanthimos,2009,94,0.11
La La Land,Comedy;Drama;Music,Damien Chazelle,2016,128,151.06
La migliore offerta,Crime;Drama;Mystery,Giuseppe Tornatore,2013,131,0.09
La tortue rouge,Animation;Fantasy,Michael Dudok de Wit,2016,80,0.92
La vie d'Adèle,Drama;Romance,Abdellatif Kechiche,2013,180,2.2
Lady in the Water,Drama;Fantasy;Mystery,M. Night Shyamalan,2006,110,42.27
Law Abiding Citizen,Crime;Drama;Thriller,F. Gary Gray,2009,109,73.34
Lawless,Crime;Drama,John Hillcoat,2012,116,37.4
Legend,Biography;Crime;Drama,Brian Helgeland,2015,132,1.87
Legion,Action;Fantasy;Horror,Scott Stewart,2010,100,40.17
Les Misérables,Drama;Musical;Romance,Tom Hooper,2012,158,148.78
Let Me In,Drama;Horror;Mystery,Matt Reeves,2010,116,12.13
Let's Be Cops,Comedy,Luke Greenfield,2014,104,82.39
Life as We Know It,Comedy;Drama;Romance,Greg Berlanti,2010,114,53.36
Life of Pi,Adventure;Drama;Fantasy,Ang Lee,2012,127,124.98
Lights Out,Horror,David F. Sandberg,2016,81,67.24
Limitless,Mystery;Sci-Fi;Thriller,Neil Burger,2011,105,79.24
Lincoln,Biography;Drama;History,Steven Spielberg,2012,150,182.2
Lion,Biography;Drama,Garth Davis,2016,118,51.69
Little Miss Sunshine,Comedy;Drama,Jonathan Dayton,2006,101,59.89
Live by Night,Crime;Drama,Ben Affleck,2016,129,10.38
Live Free or Die Hard,Action;Adventure;Thriller,Len Wiseman,2007,128,134.52
Locke,Drama,Steven Knight,2013,85,1.36
London Has Fallen,Action;Crime;Drama,Babak Najafi,2016,99,62.4
Lone Survivor,Action;Biography;Drama,Peter Berg,2013,121,125.07
Looper,Action;Crime;Drama,Rian Johnson,2012,119,66.47
Love  Rosie,Comedy;Romance,Christian Ditter,2014,102,0.01
Love & Friendship,Comedy;Drama;Romance,Whit Stillman,2016,90,14.01
Love & Other Drugs,Comedy;Drama;Romance,Edward Zwick,2010,112,32.36
Lovesong,Drama,So Yong Kim,2016,84,0.01
Loving,Biography;Drama;Romance,Jeff Nichols,2016,123,7.7
